#Size of memory array: 67108864
67108864	      4		   1
67108864	      8		   1
67108864	     16		   3
67108864	     32		   6
67108864	     64		  13
67108864	    128		  16
67108864	    256		  18
67108864	    512		  15
67108864	   1024		  15
67108864	   2048		  18
67108864	   4096		  23
67108864	   8192		  29
67108864	  16384		  32
67108864	  32768		  34
67108864	  65536		  40
67108864	 131072		  47
67108864	 262144		  44
67108864	 524288		  67
67108864	1048576		  37
67108864	2097152		  38
67108864	4194304		  30
67108864	8388608		   8
67108864	16777216		   6
67108864	33554432		   1
